Hospital Name,Location,Position,Contact Person,Phone Number
Marhiwot MCH Center,Torhailoch,Medical Director,Dr. Dagim,0947577103
Vision internal medicine speciality clinic,Black Lion,Lab Head,Mr. Asrat,0913771861
Chechela internal medicine speciality clinic,Black Lion,Lab Head,Mr. Mohammed,0921954938
Aynalem primary hospital,Ayertena,Medical Director,Dr. Mohammed,0913426500
Grace MCH center,British Embassy,Lab Head,Iman,0911416420
Bama medical center,Ayertena,Lab Head,Asrat,0987287162
Semah MCH center,Signal,Lab Head,Kebebush,0913567560
Sintayehu medium clinic,Torhailoch,Owner,Dr. Sintayehu,0911350084
Migbaresenay general hospital,Adwa Adebabay,Lab Head,shibabaw,0920288360
Doctor Aliance general hospital,Ras Desta,Lab Head,Misgan,0918789411
Elite ENT center,Hayahulet,Lab Head,Nebiyu,0924176498
Medlot medium clinic,6 Kilo,Medical Director,Dr. Abeje,0911058005
Lancet beherawi internal and surgical center,Black Lion,Lab Head,Ermias,0912979780
Wuddasei diagnostic center,Piassa,Lab Head,Firew,0911390510
Dr. amero internal medicine speciality clinic,Piassa,Owner,Dr. Amero,0930097733
St. Gabriel general hospital,Hayahulet,Medical Director,,0913676015
Afran general hospital,Ayertena,Lab Head,Noora,0931547171
Betseda American medical plaza,Hayahulet,Lab Head,Woldemariam,0911606850
healventure medical center,Hayahulet,Lab Head,Habib,0912902816
toz speciality clinic,Atobistera,Lab Head,Hareg,0994752288
Tezena general hospital,Total,Lab Head,Zeru,0910667392
Alpha cardiac and medical center,Megenagna,Lab Head,Getachew,0965478121
Dr. teshome pediatric clinic,Hayahulet,Lab Head,Kelem,0965478121
Zak internal medicine speciality clinic,Yohannis,Medical Director,Dr. Asefa,0921133674
Adera general hospital,Flamingo,Lab Technician,Abebe,0979454040
Mekrez hospital,Kasanchis,Lab Head,Getahun,0919404073
