No. ,"Healthcare name
医疗保健名称","Address 
地址","Installation date
(DD/MM/YY)","Model
型号",1st Service Date,2nd Service date,3rd Service date,4th Service Date
1,Lucy health care plc,"A.A
 亚的斯亚贝巴",29/08/2024,A8,28/02/2025,28/08/2025,28/02/2026,29/08/2026
2,AL-FEWZ Health care,"A.A 
亚的斯亚贝巴",8/12/2024,A8,12/02/2025,12/08/2025,12/02/2026,12/08/2026
3,Dr.Meliha Gyn/Obs,"A.A 
亚的斯亚贝巴",20/03/2025,A8,20/09/2025,20/03/2026,20/09/2026,20/03/2027
4,Lubu Internal and MCH Clinic,"A.A 
亚的斯亚贝巴",29/03/2025,A8,29/09/2025,29/03/2026,29/09/2026,29/03/2027
5,Semah MCH,"A.A 
亚的斯亚贝巴",02/04/2025,A8,02/10/2025,02/04/2026,02/10/2026,02/04/2027
6,UNECA,"A.A 
亚的斯亚贝巴",28/10/2024,A90,28/04/2025,28/10/2025,28/04/2026,28/10/2026
7,Care Medium clinic,"D.B 
德布雷比尔汉",14/08/2025,A8,14/02/2026,14/08/2026,14/02/2027,14/02/2027
8,Nuri Enat MCH,"Adama
 阿达玛",26/05/2025,A90,26/11/2025,26/05/2026,26/11/2026,26/05/2027
9,Bati Hospital,"Adama 
阿达玛",25/06/2025,A90,25/12/2025,25/06/2026,25/12/2026,25/06/2027
10,RiftVally Hospital,"Adama 
阿达玛",21/05/2025,A90,21/11/2025,21/05/2026,21/11/2026,21/05/2027
11,Tirat Rad PLC,"Adama 
阿达玛",10/7/2025,A90,07/04/2026,07/10/2026,07/04/2027,07/10/2027
12,Geda Medical Laboratory,Jimma 吉玛,31/10/2024,A90,31/04/2025,31/10/2025,31/04/2026,31/10/2026
13,Dr. Ermias Medium clinic,Jimma 吉玛,02/08/2025,A90,02/02/2026,02/08/2026,02/02/2027,02/08/2027
14,Jimma Awetu primary Hospital,Jimma 吉玛,06/08/2025,A90,06/02/2026,06/08/2026,02/02/2027,02/08/2027
15,Abajifar Medium Clinic,Jimma 吉玛,04/08/2025,A90,04/02/2026,04/08/2026,04/02/2027,04/08/2027
16,Abajifar Medium Clinic,Jimma 吉玛,31/10/2024,A8,31/04/2025,31/10/2025,31/04/2026,31/10/2026
17,Dr.Belete Medium Clinic,Jimma 吉玛,01/11/2024,A8,01/05/2025,01/11/2025,01/05/2026,01/11/2026
18,Shenen Gibe General Hospital,Jimma 吉玛,30/08/2025,A90,30/02/2026,30/08/2026,30/04/2027,30/08/2027
19,My Medium Clinic,Jimma 吉玛,29/08/2025,A90,28/02/2026,29/08/2026,28/02/2027,29/08/2027
20,Dr. Tesfa (Kidus Medium Clinic),Assala,24/08/2025,A8,24/02/2026,24/08/2026,24/04/2027,24/08/2027
21,Vital Internal Medicine ,"A.A 
亚的斯亚贝巴",21/03/2025,A8,24/09/2025,24/03/2026,24/09/2026,24/03/2027
22,Arada Georgis Specialized Medical center,"A.A 
亚的斯亚贝巴",30/10/2024,A90,31/04/2025,31/10/2025,31/04/2026,31/10/2026
23,Biruhkids Pediatrics center,"A.A 
亚的斯亚贝巴",04/04/2025,A90,04/10/2025,04/04/2026,04/10/2026,04/04/2027
24,Dr.Shemse MCH Center,"A.A 
亚的斯亚贝巴",26/03/2025,A8,26/09/2025,26/03/2026,26/09/2026,26/03/2027
25,Fikir Abrak internal and MCH center,"A.A 
亚的斯亚贝巴",22/03/2025,A8,22/09/2025,22/03/2026,22/09/2026,22/03/2027
26,Lobe Midium Clinic,"A.A 
亚的斯亚贝巴",21/05/2025,A90,21/11/2025,21/05/2026,21/11/2026,21/05/2027
27,Legehar General Hospital,"A.A 
亚的斯亚贝巴",20/03/2025,A90,20/09/2025,20/03/2026,20/09/2026,20/03/2027
28,Senay Higher Clinic,"A.A 
亚的斯亚贝巴",29/05/2025,A90,29/11/2025,29/05/2026,29/11/2026,29/05/2027
29,Fikir Abrak internal and MCH center,"A.A 
亚的斯亚贝巴",06/08/2025,A90,06/02/2026,06/08/2026,06/04/2027,06/08/2027
30,Qelebet specialised clinic,"A.A 
亚的斯亚贝巴",06/08/2025,A8,06/02/2026,06/08/2026,06/04/2027,06/08/2027
31,Uroshare Medical Service,"A.A 
亚的斯亚贝巴",29/11/2024,A8,29/05/2025,29/11/2025,29/05/2026,29/11/2026
32,Summit Health Center,"A.A 
亚的斯亚贝巴",12/18/2024,A90,18/06/2025,18/12/2025,18/06/2026,18/12/2026
33,Universe Internal Medicine Speciality Clinic,"A.A 
亚的斯亚贝巴",10/9/2025,A90,09/04/2026,09/10/2026,09/04/2027,09/10/2027
34,Hiwot Fana Hospital,"Harrar
 哈拉尔",19/12/2024,A90,19/06/2025,19/12/2025,19/06/2026,19/12/2026
35,Hamdi Specialized Clinic,"Harrar 
哈拉尔",20/12/2024,A90,20/06/2025,20/12/2025,20/06/2026,20/12/2026
36,Robsen Clinic,"D.D 
德雷达瓦",25/12/2024,A8,25/06/2025,25/12/2025,25/06/2026,25/12/2026
37,Odo dola Midium Clinic,"Shakiso 
沙克索",7/28/2025,A8,1/28/2026,28/07/2026,28/01/2027,28/07/2027
38,Dilla University referral Hospital,"Dilla 
迪拉",23/07/2025,A90,1/23/2026,23/07/2026,23/01/2027,23/07/2027
39,Kibru primary hospital,"Hawassa 
哈瓦萨",20/08/2025,A90,20/02/2026,20/08/2026,20/04/2027,20/08/2027
40,Unicare medical service,"Hawassa 
哈瓦萨",22/08/2025,A90,22/02/2026,22/08/2026,22/04/2027,22/08/2027
41,Newyork Health care,"Hawassa 
哈瓦萨",22/08/2025,A90,22/02/2026,22/08/2026,22/04/2027,22/08/2027
42,Cardinal Speciality Medical & Surgical Center,"Shashemene
 沙舍梅内",,A90,,,,
43,Grace Hospital ,"Wolayta 
沃莱塔",9/8/2025,A90,08/03/2026,08/09/2026,08/03/2027,08/09/2027
44,Guro Basic Diagnostic Laboratory,"Yirgalem 
耶尔加勒姆",9/30/2025,A90,30/03/2026,30/09/2026,30/03/2027,30/09/2027
45,Arba Minch General Hospital,"Arba Minch
 阿尔巴明奇",9/25/2025,A90,25/03/2026,25/09/2026,25/03/2027,25/09/2027
46,Hayat Hospital,"A.A 
亚的斯亚贝巴",12/5/2025,A90,05/06/2026,05/12/2026,05/06/2027,05/12/2027
47,Amin General Hospital,"A.A 
亚的斯亚贝巴",10/28/2025,A90 ,28/04/2026,28/10/2026,28/04/2027,28/10/2027
48,Caring Internal Medicine Speciality Clinic,"A.A 
亚的斯亚贝巴",11/7/2025,A8,07/05/2026,07/11/2026,07/05/2027,07/11/2027
49,Addis Cardiac Hospital,"A.A 
亚的斯亚贝巴",12/9/2025,A90,09/12/2026,09/12/2026,09/06/2027,09/12/2027
50,Makira Hakime Pediatric and Surgical Center,"Hawassa
  哈瓦萨",1/2/2026,A8,02/07/2026,02/01/2027,02/07/2027,02/01/2027
51,Guro Basic Diagnostic Laboratory(No 02),"Dilla 
迪拉",1/3/2026,A8,03/07/2036,03/01/2027,03/07/2027,03/01/2027
